@relation data
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute class {'1','2','3','4','5'}
@data
-0.005009,-0.000964,0.000573,0.008623,0.005667,0.001302,-0.000631,0.00013,-4.8e-05,0.007762,-0.001226,0.00045,-0.004519,-0.00089,0.000489,0.000611,0.000453,0.00059,4.3e-05,7.8e-05,-1.9e-05,-0.000396,-7e-06,0.000188,0.005133,0.0104,0.000646,0.007871,0.004631,0.000963,9.2e-05,0.000438,'1'
0.004905,0.001209,-0.000649,0.004737,0.003166,0.000819,-0.000572,-1.5e-05,2.3e-05,0.002706,0.00211,0.000439,0.000708,0.000155,-8.7e-05,-0.000278,-0.000179,-3.4e-05,4e-06,-1e-05,5e-06,-0.000361,0.000238,-1e-06,0.005093,0.005756,0.000573,0.003459,0.00073,0.000332,1.2e-05,0.000433,'1'
-0.002393,-0.000216,0.000136,0.003028,0.001212,0.000336,-0.000449,1.7e-05,4.7e-05,0.002868,0.001519,0.000318,-0.002354,-0.00046,0.000253,-0.000551,-0.000631,-0.000156,4e-05,1e-05,8e-06,5.2e-05,-0.000191,-3.9e-05,0.002406,0.003279,0.000452,0.003261,0.002412,0.000852,4.2e-05,0.000202,'1'
-0.001394,-0.000242,5.6e-05,0.001182,0.000575,0.000225,-0.000479,-5e-05,0.000104,0.001171,0.000652,0.000216,0.000312,-8e-06,-2.5e-05,-0.000577,-0.000199,-3.5e-05,-9e-06,-2.1e-05,1.8e-05,-0.00053,-0.000271,-3.2e-05,0.001416,0.001334,0.000493,0.001358,0.000313,0.000611,2.9e-05,0.000596,'1'
-0.000156,-4e-06,2.3e-05,0.001585,0.00063,9.4e-05,-0.000303,9.7e-05,6.5e-05,0.001579,0.00066,9.1e-05,2e-04,3.8e-05,-5e-06,6.5e-05,9e-06,-2.1e-05,2.8e-05,2.4e-05,-6e-06,6.6e-05,1e-06,-2e-05,0.000158,0.001709,0.000325,0.001713,0.000203,6.9e-05,3.8e-05,6.9e-05,'1'
-3.2e-05,2.7e-05,1.6e-05,0.001482,0.000732,6.5e-05,0.000369,0.000141,-5.4e-05,0.001475,0.00075,6.3e-05,4e-05,1e-05,-2e-06,-3.3e-05,3.3e-05,-9e-06,0.000217,1.4e-05,-3.8e-05,-3.3e-05,2.9e-05,-9e-06,4.5e-05,0.001654,0.000399,0.001656,4.1e-05,4.8e-05,0.000221,4.5e-05,'1'
3.3e-05,2e-06,2.4e-05,0.00115,0.000709,7.9e-05,0.001336,0.000303,-3.7e-05,0.001138,0.000718,7.6e-05,2.1e-05,-8e-06,3e-06,-0.000107,-7e-06,4e-06,0.000312,5.2e-05,5e-06,-0.000109,-1e-05,4e-06,4.1e-05,0.001353,0.001371,0.001348,2.3e-05,0.000107,0.000316,0.000109,'1'
0.000146,0.000291,2.7e-05,0.001257,0.000902,6e-05,0.002628,0.000582,-0.000142,0.001246,0.00091,5.8e-05,7.1e-05,0.00018,2e-06,6.7e-05,0.00012,-1.1e-05,0.000807,0.000174,-6.5e-05,6.8e-05,0.00012,-1.1e-05,0.000327,0.001548,0.002696,0.001544,0.000194,0.000138,0.000829,0.000138,'1'
-0.001985,-0.000279,3.8e-05,7.3e-05,0.000347,7.1e-05,0.001276,0.000592,1.9e-05,6.3e-05,0.000346,6.9e-05,-0.000453,-0.000121,2e-06,-0.000252,-0.000118,2e-06,-0.000288,2e-06,3.4e-05,-0.000252,-0.00012,2e-06,0.002004,0.000361,0.001407,0.000359,0.000469,0.000278,0.00029,0.000279,'1'
-0.001601,8.2e-05,5.9e-05,-0.000268,0.000282,4.4e-05,0.000627,0.000505,-0.000136,-0.000275,0.000283,4.3e-05,0.000255,0.000241,1.4e-05,-0.000228,-4.3e-05,-1.8e-05,-0.000433,-5.8e-05,-0.000103,-0.000226,-4.2e-05,-1.8e-05,0.001605,0.000392,0.000816,0.000397,0.000351,0.000232,0.000449,0.00023,'1'
