@relation data
@attribute Age {'19-29','30-44','45-59','60-74','75+'}
@attribute Time_of_survey {'1991','1992'}
@attribute Schooling {'Basic','Basic_incomplete','Intensive','Medium','Upper_medium'}
@attribute Region {'East_Germany','West_Germany'}
@attribute Count numeric
@attribute class {'1','2','3','4'}
@data
'19-29','1991','Basic_incomplete','West_Germany',1,'2'
'19-29','1991','Basic','West_Germany',5,'2'
'19-29','1991','Medium','West_Germany',10,'2'
'19-29','1991','Upper_medium','West_Germany',3,'2'
'19-29','1991','Intensive','West_Germany',8,'2'
'19-29','1991','Basic_incomplete','East_Germany',0,'2'
'19-29','1991','Basic','East_Germany',0,'2'
'19-29','1991','Medium','East_Germany',2,'2'
'19-29','1991','Upper_medium','East_Germany',0,'2'
'19-29','1991','Intensive','East_Germany',2,'2'
'19-29','1991','Basic_incomplete','West_Germany',3,'1'
'19-29','1991','Basic','West_Germany',63,'1'
'19-29','1991','Medium','West_Germany',88,'1'
'19-29','1991','Upper_medium','West_Germany',22,'1'
'19-29','1991','Intensive','West_Germany',78,'1'
'19-29','1991','Basic_incomplete','East_Germany',2,'1'
'19-29','1991','Basic','East_Germany',13,'1'
'19-29','1991','Medium','East_Germany',103,'1'
'19-29','1991','Upper_medium','East_Germany',6,'1'
'19-29','1991','Intensive','East_Germany',29,'1'
'19-29','1991','Basic_incomplete','West_Germany',1,'4'
'19-29','1991','Basic','West_Germany',25,'4'
'19-29','1991','Medium','West_Germany',18,'4'
'19-29','1991','Upper_medium','West_Germany',5,'4'
'19-29','1991','Intensive','West_Germany',9,'4'
'19-29','1991','Basic_incomplete','East_Germany',1,'4'
'19-29','1991','Basic','East_Germany',5,'4'
'19-29','1991','Medium','East_Germany',53,'4'
'19-29','1991','Upper_medium','East_Germany',1,'4'
'19-29','1991','Intensive','East_Germany',12,'4'
'19-29','1991','Basic_incomplete','West_Germany',2,'3'
'19-29','1991','Basic','West_Germany',2,'3'
'19-29','1991','Medium','West_Germany',0,'3'
