@relation data
@attribute heart_rate numeric
@attribute temperature numeric
@attribute class {'1','2','3','4'}
@data
152,37.45,'4'
156,37.45,'4'
147,37.45,'4'
145,37.45,'4'
129,37.45,'4'
131,37.45,'4'
137,37.45,'4'
138,37.45,'4'
139,37.4,'4'
141,37.4,'4'
142,37.4,'4'
128,37.4,'4'
142,37.4,'4'
155,37.4,'4'
150,37.4,'4'
146,37.4,'4'
150,37.4,'4'
146,37.4,'4'
151,37.4,'4'
145,37.4,'4'
146,37.4,'4'
146,37.4,'4'
139,37.4,'4'
135,37.4,'4'
141,37.35,'4'
145,37.35,'4'
149,37.35,'4'
140,37.35,'4'
146,37.35,'4'
147,37.4,'4'
144,37.4,'4'
140,37.4,'4'
135,37.35,'4'
118,37.35,'4'
120,37.35,'4'
135,37.35,'4'
146,37.3,'4'
139,37.35,'4'
138,37.3,'4'
129,37.3,'4'
130,37.3,'4'
128,37.3,'4'
125,37.35,'4'
127,37.35,'4'
131,37.35,'4'
132,37.35,'4'
145,37.35,'4'
153,37.4,'4'
154,37.35,'4'
145,37.35,'4'
146,37.35,'4'
140,37.35,'4'
134,37.35,'4'
128,37.35,'4'
127,37.35,'4'
140,37.35,'4'
143,37.35,'4'
138,37.35,'4'
124,37.35,'4'
123,37.35,'4'
131,37.35,'4'
151,37.35,'4'
136,37.35,'4'
126,37.3,'2'
127,37.35,'2'
129,37.35,'2'
124,37.35,'2'
128,37.35,'2'
130,37.35,'2'
121,37.35,'2'
141,37.3,'2'
128,37.35,'2'
130,37.3,'2'
124,37.3,'2'
128,37.35,'1'
122,37.3,'1'
130,37.3,'1'
130,37.3,'1'
135,37.3,'1'
125,37.3,'1'
123,37.3,'1'
127,37.3,'1'
125,37.3,'1'
125,37.25,'1'
129,37.25,'1'
128,37.25,'1'
130,37.25,'1'
128,37.2,'1'
130,37.2,'1'
129,37.2,'1'
129,37.2,'1'
129,37.2,'1'
130,37.2,'1'
131,37.2,'1'
131,37.2,'1'
130,37.2,'1'
131,37.2,'1'
131,37.2,'1'
132,37.2,'1'
129,37.2,'1'
131,37.2,'1'
131,37.15,'1'
128,37.15,'1'
127,37.15,'1'
128,37.15,'1'
129,37.15,'1'
131,37.15,'1'
131,37.15,'1'
131,37.15,'1'
131,37.15,'1'
129,37.15,'1'
125,37.15,'1'
124,37.15,'1'
130,37.15,'1'
125,37.15,'1'
126,37.15,'1'
127,37.15,'1'
124,37.15,'1'
122,37.15,'1'
128,37.15,'1'
128,37.15,'1'
126,37.15,'1'
130,37.15,'1'
114,37.15,'1'
123,37.15,'1'
116,37.15,'3'
127,37.15,'3'
123,37.15,'3'
131,37.15,'3'
125,37.15,'3'
123,37.15,'3'
125,37.15,'3'
123,37.15,'3'
114,37.15,'3'
120,37.1,'3'
130,37.15,'3'
126,37.15,'3'
112,37.15,'3'
114,37.15,'3'
125,37.15,'3'
128,37.15,'3'
115,37.1,'3'
121,37.15,'3'
124,37.15,'3'
128,37.15,'3'
118,37.1,'3'
119,37.1,'3'
121,37.1,'3'
130,37.1,'3'
115,37.1,'3'
124,37.1,'3'
129,37.1,'3'
125,37.05,'3'
120,37.05,'3'
118,37.05,'3'
121,37.1,'3'
120,37.1,'3'
119,37.05,'3'
127,37.05,'3'
120,37.05,'3'
124,37.05,'3'
121,37.05,'3'
120,37.1,'3'
122,37.05,'3'
118,37.05,'3'
112,37.05,'3'
115,37.05,'3'
120,37.05,'3'
123,37.05,'3'
125,37.05,'3'
113,37.05,'2'
124,37.05,'2'
133,37.05,'2'
117,37.05,'2'
121,37.05,'2'
121,37.05,'2'
117,37.1,'2'
124,37.1,'2'
133,37.05,'2'
129,37.05,'2'
120,37.05,'2'
129,37.05,'2'
114,37.05,'2'
119,37.05,'2'
123,37.05,'2'
131,37.05,'2'
114,37.05,'2'
124,37.05,'1'
123,37.05,'1'
128,37.05,'1'
117,37.05,'1'
118,37.05,'1'
118,37.05,'1'
120,37.05,'1'
119,37.05,'1'
120,37.05,'1'
124,37.05,'1'
126,37.05,'1'
124,37.05,'1'
122,37.05,'1'
122,37.05,'1'
118,37.05,'1'
123,37.05,'1'
122,37.05,'1'
124,37.05,'1'
124,37.05,'1'
125,37.05,'1'
124,37.05,'1'
122,37.05,'1'
122,37.05,'1'
124,37,'1'
124,37,'1'
121,37,'1'
123,37,'1'
123,37,'1'
124,37,'1'
121,37,'1'
124,37,'1'
124,37,'1'
123,37,'1'
120,36.95,'1'
123,36.95,'1'
121,36.95,'1'
124,36.95,'1'
122,36.95,'1'
123,36.95,'1'
124,36.95,'1'
122,36.95,'1'
122,36.95,'1'
119,36.95,'1'
123,36.95,'1'
120,36.95,'1'
121,36.95,'1'
120,36.95,'1'
122,36.95,'1'
119,36.95,'1'
119,36.95,'1'
116,36.95,'1'
119,36.9,'1'
117,36.9,'1'
120,36.9,'1'
110,36.9,'1'
112,36.9,'1'
112,36.9,'1'
117,36.9,'1'
113,36.9,'1'
114,36.9,'1'
121,36.9,'1'
123,36.9,'1'
111,36.85,'3'
117,36.9,'3'
129,36.9,'3'
119,36.85,'3'
