@relation data
@attribute year_zone {'0c','0f','0m','1c','1f','1m','2c','2f','2m','6c','6f','6m','7c','7f','7m','8c','8f','8m','9c','9f','9m'}
@attribute year {'86','87','88','89','90','91','92'}
@attribute strip numeric
@attribute pdk numeric
@attribute damage_rankRJT {'0','1','2','3','4','5'}
@attribute damage_rankALL {'0','1','2','3','4','5'}
@attribute dry_or_irr {'B','D','O'}
@attribute zone {'C','F','M'}
@attribute class {'1','2','3','4'}
@data
'6f','86',3,1,'1','0','D','F','3'
'6f','86',3,2,'0','0','D','F','2'
'6f','86',3,3,'1','1','D','F','2'
'6f','86',3,4,'1','0','D','F','2'
'6f','86',3,5,'0','0','D','F','3'
'6f','86',4,1,'0','1','D','F','3'
'6f','86',4,2,'2','2','D','F','2'
'6f','86',4,3,'1','0','D','F','3'
'6m','86',6,1,'2','0','D','M','1'
'6m','86',6,2,'3','3','D','M','1'
'6m','86',6,3,'1','1','D','M','3'
'6c','86',10,1,'1','1','D','C','2'
'6c','86',10,2,'3','4','O','C','2'
'6c','86',10,3,'3','3','D','C','2'
'6c','86',10,4,'3','2','D','C','4'
'6c','86',10,5,'3','3','D','C','2'
'7f','87',1,2,'2','1','D','F','4'
'7f','87',1,3,'3','3','D','F','4'
'7f','87',2,1,'2','1','D','F','2'
'7f','87',3,1,'0','1','D','F','3'
'7f','87',3,2,'1','0','D','F','3'
'7f','87',3,3,'0','0','D','F','3'
'7f','87',3,4,'2','1','D','F','3'
'7f','87',3,5,'0','1','D','F','3'
'7m','87',5,1,'2','3','B','M','3'
'7m','87',5,2,'1','2','D','M','1'
'7m','87',5,3,'0','0','D','M','3'
'7m','87',5,4,'1','1','D','M','3'
'7m','87',6,2,'2','1','D','M','3'
'7m','87',6,4,'3','1','D','M','2'
'7c','87',10,1,'3','2','D','C','4'
'7c','87',10,2,'3','2','D','C','2'
'7c','87',10,3,'2','2','D','C','2'
'7c','87',10,4,'1','1','O','C','2'
'7c','87',10,5,'2','3','D','C','2'
'8f','88',1,0,'5','3','D','F','4'
'8f','88',1,1,'0','0','D','F','3'
'8f','88',1,2,'3','1','D','F','4'
'8f','88',1,4,'2','1','D','F','4'
