@relation data
@attribute sex {'Female','Male'}
@attribute index numeric
@attribute FL numeric
@attribute RW numeric
@attribute CL numeric
@attribute CW numeric
@attribute BD numeric
@attribute class {'1','2'}
@data
'Male',1,8.1,6.7,16.1,19,7,'1'
'Male',2,8.8,7.7,18.1,20.8,7.4,'1'
'Male',3,9.2,7.8,19,22.4,7.7,'1'
'Male',4,9.6,7.9,20.1,23.1,8.2,'1'
'Male',5,9.8,8,20.3,23,8.2,'1'
'Male',6,10.8,9,23,26.5,9.8,'1'
'Male',7,11.1,9.9,23.8,27.1,9.8,'1'
'Male',8,11.6,9.1,24.5,28.4,10.4,'1'
'Male',9,11.8,9.6,24.2,27.8,9.7,'1'
'Male',10,11.8,10.5,25.2,29.3,10.3,'1'
'Male',11,12.2,10.8,27.3,31.6,10.9,'1'
'Male',12,12.3,11,26.8,31.5,11.4,'1'
'Male',13,12.6,10,27.7,31.7,11.4,'1'
'Male',14,12.8,10.2,27.2,31.8,10.9,'1'
'Male',15,12.8,10.9,27.4,31.5,11,'1'
'Male',16,12.9,11,26.8,30.9,11.4,'1'
'Male',17,13.1,10.6,28.2,32.3,11,'1'
'Male',18,13.1,10.9,28.3,32.4,11.2,'1'
'Male',19,13.3,11.1,27.8,32.3,11.3,'1'
'Male',20,13.9,11.1,29.2,33.3,12.1,'1'
'Male',21,14.3,11.6,31.3,35.5,12.7,'1'
'Male',22,14.6,11.3,31.9,36.4,13.7,'1'
'Male',23,15,10.9,31.4,36.4,13.2,'1'
'Male',24,15,11.5,32.4,37,13.4,'1'
'Male',25,15,11.9,32.5,37.2,13.6,'1'
'Male',26,15.2,12.1,32.3,36.7,13.6,'1'
'Male',27,15.4,11.8,33,37.5,13.6,'1'
'Male',28,15.7,12.6,35.8,40.3,14.5,'1'
'Male',29,15.9,12.7,34,38.9,14.2,'1'
'Male',30,16.1,11.6,33.8,39,14.4,'1'
'Male',31,16.1,12.8,34.9,40.7,15.7,'1'
'Male',32,16.2,13.3,36,41.7,15.4,'1'
'Male',33,16.3,12.7,35.6,40.9,14.9,'1'
'Male',34,16.4,13,35.7,41.8,15.2,'1'
'Male',35,16.6,13.5,38.1,43.4,14.9,'1'
'Male',36,16.8,12.8,36.2,41.8,14.9,'1'
