@relation data
@attribute attr1 {'1','2','3'}
@attribute attr2 {'1','2','3'}
@attribute attr3 {'1','2'}
@attribute attr4 {'1','2','3'}
@attribute attr5 {'1','2','3','4'}
@attribute attr6 {'1','2'}
@attribute class {'1','2'}
@data
'1','1','1','1','2','2','1'
'1','1','1','1','4','1','1'
'1','1','1','2','1','1','1'
'1','1','1','2','1','2','1'
'1','1','1','2','2','1','1'
'1','1','1','2','3','1','1'
'1','1','1','2','4','1','1'
'1','1','1','3','2','1','1'
'1','1','1','3','4','1','1'
'1','1','2','1','1','1','1'
'1','1','2','1','1','2','1'
'1','1','2','2','3','1','1'
'1','1','2','2','4','1','1'
'1','1','2','2','4','2','2'
'1','1','2','3','1','2','1'
'1','1','2','3','2','2','2'
'1','2','1','1','1','2','1'
'1','2','1','2','1','2','1'
'1','2','1','2','2','2','2'
'1','2','1','2','3','1','1'
'1','2','1','2','3','2','2'
'1','2','1','2','4','1','1'
'1','2','1','3','1','1','1'
'1','2','1','3','1','2','1'
'1','2','1','3','2','2','2'
'1','2','1','3','3','1','1'
'1','2','1','3','3','2','2'
'1','2','1','3','4','1','1'
'1','2','1','3','4','2','2'
'1','2','2','1','2','1','1'
'1','2','2','1','4','1','1'
'1','2','2','2','3','1','2'
'1','2','2','2','4','1','2'
'1','2','2','3','1','1','1'
'1','2','2','3','1','2','2'
'1','2','2','3','3','1','2'
'1','2','2','3','3','2','1'
'1','2','2','3','4','1','2'
'1','2','2','3','4','2','1'
'1','3','1','1','1','2','1'
'1','3','1','1','2','2','1'
'1','3','1','1','3','1','1'
'1','3','1','1','3','2','1'
'1','3','1','2','2','1','1'
'1','3','1','2','2','2','2'
'1','3','1','2','3','2','2'
'1','3','1','2','4','1','1'
'1','3','1','3','2','2','2'
'1','3','1','3','3','1','1'
'1','3','1','3','4','2','2'
'1','3','2','1','3','1','1'
'1','3','2','1','3','2','2'
'1','3','2','1','4','1','1'
'1','3','2','2','1','2','2'
'1','3','2','2','3','2','1'
'1','3','2','2','4','2','1'
'1','3','2','3','2','1','2'
'2','1','1','1','1','1','1'
'2','1','1','1','2','2','1'
'2','1','1','1','3','1','1'
'2','1','1','2','2','2','2'
'2','1','1','3','1','2','1'
'2','1','1','3','2','2','2'
'2','1','1','3','3','2','2'
'2','1','1','3','4','1','1'
'2','1','2','1','1','1','1'
'2','1','2','1','2','2','2'
'2','1','2','1','4','1','1'
'2','1','2','2','2','1','2'
'2','1','2','2','4','2','1'
'2','1','2','3','1','1','1'
'2','1','2','3','1','2','2'
'2','1','2','3','2','2','1'
'2','1','2','3','3','2','1'
'2','1','2','3','4','2','1'
'2','2','1','1','3','1','1'
'2','2','1','1','4','2','2'
'2','2','1','2','1','1','1'
'2','2','1','2','3','1','2'
'2','2','1','3','3','1','2'
'2','2','1','3','3','2','1'
'2','2','1','3','4','1','2'
'2','2','2','1','1','1','1'
'2','2','2','1','2','2','1'
'2','2','2','1','3','2','1'
'2','2','2','1','4','1','2'
'2','2','2','1','4','2','1'
'2','2','2','2','1','1','2'
'2','2','2','2','2','2','1'
'2','2','2','2','3','1','1'
'2','2','2','3','1','1','2'
'2','2','2','3','2','1','1'
'2','2','2','3','2','2','1'
'2','2','2','3','4','2','1'
'2','3','1','1','1','1','1'
'2','3','1','1','1','2','1'
'2','3','1','1','3','2','2'
'2','3','1','2','1','1','1'
'2','3','1','2','3','1','2'
'2','3','1','2','3','2','1'
'2','3','1','2','4','2','1'
'2','3','1','3','1','2','2'
'2','3','1','3','2','1','2'
'2','3','1','3','4','1','2'
'2','3','2','1','1','2','2'
'2','3','2','1','2','1','2'
'2','3','2','1','3','1','2'
'2','3','2','1','4','2','1'
'2','3','2','2','1','1','2'
'2','3','2','2','2','1','1'
'2','3','2','2','3','2','1'
'2','3','2','3','3','1','1'
'2','3','2','3','3','2','1'
'2','3','2','3','4','2','1'
'3','1','1','1','4','1','1'
'3','1','1','2','1','2','1'
'3','1','1','2','2','2','2'
'3','1','1','2','3','2','2'
'3','1','1','2','4','1','1'
'3','1','1','2','4','2','2'
'3','1','1','3','1','1','1'
'3','1','1','3','1','2','1'
'3','1','1','3','2','2','2'
'3','1','1','3','3','2','2'
'3','1','2','1','1','1','1'
'3','1','2','1','2','2','2'
'3','1','2','1','3','1','1'
'3','1','2','1','3','2','2'
'3','1','2','1','4','1','1'
'3','1','2','1','4','2','2'
'3','1','2','2','2','1','2'
'3','1','2','3','1','2','2'
'3','1','2','3','2','1','2'
'3','1','2','3','2','2','1'
'3','1','2','3','4','2','1'
'3','2','1','1','1','2','1'
'3','2','1','1','2','2','2'
'3','2','1','1','3','1','1'
'3','2','1','1','3','2','2'
'3','2','1','2','1','2','2'
'3','2','1','2','2','1','2'
'3','2','1','3','1','1','1'
'3','2','1','3','2','1','2'
'3','2','1','3','3','1','2'
'3','2','1','3','3','2','1'
'3','2','2','1','1','1','1'
'3','2','2','1','2','2','1'
'3','2','2','1','3','1','2'
'3','2','2','1','3','2','1'
'3','2','2','2','1','1','2'
'3','2','2','2','2','1','1'
'3','2','2','2','2','2','1'
'3','2','2','2','3','2','1'
'3','2','2','3','1','1','2'
'3','2','2','3','3','2','1'
'3','2','2','3','4','2','1'
'3','3','1','1','1','1','1'
'3','3','1','1','2','1','1'
'3','3','1','1','3','1','1'
'3','3','1','1','3','2','2'
'3','3','1','2','3','2','1'
'3','3','2','1','1','1','1'
'3','3','2','2','1','1','2'
'3','3','2','2','2','1','1'
'3','3','2','2','3','1','1'
'3','3','2','2','3','2','1'
'3','3','2','3','1','1','2'
'3','3','2','3','2','1','1'
'3','3','2','3','4','2','1'
'1','1','1','1','1','1','1'
'1','1','1','1','1','2','1'
'1','1','1','1','2','1','1'
'1','1','1','1','2','2','1'
'1','1','1','1','3','1','1'
'1','1','1','1','3','2','1'
'1','1','1','1','4','1','1'
'1','1','1','1','4','2','1'
'1','1','1','2','1','1','1'
'1','1','1','2','1','2','1'
'1','1','1','2','2','1','1'
'1','1','1','2','2','2','1'
'1','1','1','2','3','1','1'
'1','1','1','2','3','2','1'
'1','1','1','2','4','1','1'
'1','1','1','2','4','2','1'
'1','1','1','3','1','1','1'
'1','1','1','3','1','2','1'
'1','1','1','3','2','1','1'
'1','1','1','3','2','2','1'
'1','1','1','3','3','1','1'
'1','1','1','3','3','2','1'
'1','1','1','3','4','1','1'
'1','1','1','3','4','2','1'
'1','1','2','1','1','1','1'
'1','1','2','1','1','2','1'
'1','1','2','1','2','1','1'
'1','1','2','1','2','2','1'
'1','1','2','1','3','1','1'
'1','1','2','1','3','2','1'
'1','1','2','1','4','1','1'
'1','1','2','1','4','2','1'
'1','1','2','2','1','1','1'
'1','1','2','2','1','2','1'
'1','1','2','2','2','1','1'
'1','1','2','2','2','2','2'
'1','1','2','2','3','1','1'
'1','1','2','2','3','2','2'
'1','1','2','2','4','1','1'
'1','1','2','2','4','2','2'
'1','1','2','3','1','1','1'
'1','1','2','3','1','2','1'
'1','1','2','3','2','1','1'
'1','1','2','3','2','2','2'
'1','1','2','3','3','1','1'
'1','1','2','3','3','2','2'
'1','1','2','3','4','1','1'
