@relation data
@attribute xs numeric
@attribute ys numeric
@attribute class {'1','2'}
@data
0.051008,0.160862,'1'
-0.748074,0.08904,'1'
-0.772934,0.263172,'1'
0.218374,0.127061,'1'
0.372683,0.496562,'1'
-0.629315,0.632022,'1'
-0.433072,0.144792,'1'
-0.84152,-0.191313,'1'
0.475256,0.224837,'1'
0.32083,0.327213,'1'
0.320613,0.334075,'1'
-0.890775,0.411688,'1'
0.178501,0.446914,'1'
0.31558,0.388534,'1'
0.557772,0.472727,'1'
0.031919,0.01223,'1'
0.250906,0.307167,'1'
0.235715,0.224938,'1'
-0.072362,0.333765,'1'
0.504402,0.080546,'1'
-0.632234,0.445525,'1'
-0.767847,0.236147,'1'
-0.700176,0.210388,'1'
-0.647135,0.159214,'1'
-0.767392,0.09259,'1'
-0.517887,0.032881,'1'
0.175166,0.345349,'1'
-0.680312,0.476122,'1'
0.015952,0.321675,'1'
-0.714811,0.514214,'1'
0.078379,0.32285,'1'
-0.808723,0.470366,'1'
-0.842112,0.092942,'1'
-0.985916,0.483093,'1'
0.291041,0.34276,'1'
0.243215,0.514883,'1'
-0.601044,0.050601,'1'
-1.246525,0.459232,'1'
-0.82769,0.361875,'1'
-0.621173,-0.109122,'1'
-0.705841,0.659077,'1'
0.067189,0.605749,'1'
0.305051,0.47418,'1'
0.607881,0.393616,'1'
-0.789375,0.175917,'1'
-0.531232,0.426528,'1'
0.252021,0.170297,'1'
-0.578804,0.265537,'1'
-0.831767,0.544474,'1'
-0.698592,0.385669,'1'
-0.736426,0.118575,'1'
-0.934962,0.113707,'1'
0.439593,0.414306,'1'
-0.546909,0.249563,'1'
-0.084056,0.365211,'1'
0.322115,0.690871,'1'
0.107647,0.579469,'1'
-0.71864,0.256458,'1'
-0.878778,0.450648,'1'
-0.69846,0.950539,'1'
0.397574,0.118102,'1'
-0.504514,0.571964,'1'
0.250236,0.397839,'1'
0.617092,0.101858,'1'
0.318329,0.087906,'1'
-0.574534,0.186242,'1'
0.097619,0.551768,'1'
0.484493,0.35373,'1'
0.524007,0.466169,'1'
-0.781385,-0.075347,'1'
-0.497046,0.599481,'1'
-0.969845,0.466249,'1'
0.435414,0.121924,'1'
-0.679425,0.307539,'1'
-0.62529,0.07099,'1'
-0.023181,0.404426,'1'
0.232001,0.710668,'1'
0.093844,0.466744,'1'
0.142343,0.178987,'1'
-0.616864,0.255078,'1'
0.236363,0.515438,'1'
0.389142,0.404296,'1'
-0.951787,-0.037722,'1'
0.240878,0.719489,'1'
0.124463,0.451788,'1'
-0.605664,0.269065,'1'
-0.713972,0.308718,'1'
0.310084,0.346753,'1'
0.180188,0.462046,'1'
-0.426639,0.647232,'1'
0.061432,0.324912,'1'
0.07737,0.321833,'1'
0.42815,0.13446,'1'
-0.802508,0.66879,'1'
0.401426,0.425164,'1'
0.370848,0.264071,'1'
-0.807747,0.414859,'1'
0.501636,0.239349,'1'
0.582383,0.228427,'1'
-0.591361,0.302303,'1'
-0.870372,0.269414,'1'
-0.720868,0.196767,'1'
0.277784,0.217923,'1'
0.332408,0.273499,'1'
-0.140921,0.392474,'1'
-0.597595,0.147903,'1'
-0.855815,0.14514,'1'
-0.889122,0.26896,'1'
0.213457,0.436118,'1'
-0.534679,0.579012,'1'
0.316868,0.397059,'1'
-0.681217,0.042098,'1'
-0.975861,0.459648,'1'
0.414572,0.271412,'1'
0.327513,0.367801,'1'
-0.932092,0.09362,'1'
0.583953,0.471473,'1'
-0.444373,0.230101,'1'
0.291094,0.193656,'1'
-0.510807,0.41496,'1'
-0.965975,0.179311,'1'
0.187413,0.297471,'1'
0.179654,0.451754,'1'
-0.726896,0.357284,'1'
-0.543399,0.41012,'1'
-0.598234,0.987014,'2'
-0.201947,0.621017,'2'
0.471461,0.482211,'2'
-0.09822,0.587556,'2'
-0.356577,0.637097,'2'
0.638814,0.421121,'2'
0.629806,0.281461,'2'
-0.462233,0.61661,'2'
-0.073316,0.558217,'2'
-0.554055,0.512531,'2'
-0.437618,0.878118,'2'
-0.222378,0.888508,'2'
0.093462,0.673105,'2'
0.531747,0.543727,'2'
0.402075,0.516385,'2'
0.475552,0.650563,'2'
-0.233833,0.636426,'2'
-0.315793,0.750313,'2'
-0.473517,0.638541,'2'
0.592395,0.89257,'2'
-0.226053,0.797895,'2'
-0.43995,0.520993,'2'
-0.54645,0.745772,'2'
0.464043,0.510652,'2'
-0.151943,0.812184,'2'
0.485364,0.820181,'2'
0.347256,0.708138,'2'
0.43897,0.628172,'2'
-0.214159,0.64364,'2'
0.573802,0.637135,'2'
0.387174,0.585784,'2'
0.320383,0.535291,'2'
-0.207815,0.651325,'2'
-0.186513,0.817548,'2'
0.247527,0.390819,'2'
0.660499,0.899192,'2'
-0.286588,0.733759,'2'
-0.325881,0.398655,'2'
-0.252046,0.673583,'2'
0.37259,0.497859,'2'
-0.290966,1.043721,'2'
-0.304698,0.868583,'2'
-0.2139,1.093178,'2'
-0.3683,0.756395,'2'
-0.469282,0.887751,'2'
0.393501,0.779752,'2'
-0.4564,0.805235,'2'
0.511282,0.766061,'2'
0.225505,0.464512,'2'
0.01463,0.401909,'2'
-0.191728,0.809433,'2'
0.383235,0.756017,'2'
