@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute class {'1','2','3','4'}
@data
0.978994,1.220233,-0.449238,-0.918866,-0.079619,-0.054551,-0.375657,-0.558648,'3'
-0.389628,1.785679,-0.327477,0.083195,-0.079619,-0.054551,0.527543,-0.558648,'3'
1.526443,1.314474,-0.205717,-0.775715,-0.079619,-0.054551,0.527543,-0.558648,'3'
0.978994,-0.381866,0.768367,-0.918866,-0.079619,-0.054551,0.708183,-0.558648,'4'
-0.480869,-0.381866,-0.327477,2.015742,-0.079619,-0.054551,-0.375657,-0.558648,'3'
0.340304,-0.75883,0.646607,-0.632563,-0.079619,12.957648,-0.195017,-0.558648,'1'
0.249063,0.560545,-0.327477,2.803076,-0.079619,-0.054551,0.527543,-0.558648,'3'
0.06658,-0.287625,1.011888,-0.417836,-0.079619,-0.054551,1.430743,0.521481,'4'
0.70527,0.183581,1.864211,0.727377,-0.079619,-0.054551,-0.195017,-0.558648,'3'
-0.663352,-0.853071,1.133648,-0.775715,-0.079619,-0.054551,1.430743,0.161438,'1'
-0.389628,-0.853071,0.403086,-0.34626,-0.079619,-0.054551,0.527543,-0.108594,'4'
-0.480869,-1.041553,1.011888,-0.417836,-0.079619,-0.054551,0.346903,0.071427,'4'
-0.663352,-0.570348,0.768367,0.655801,-0.079619,-0.054551,0.527543,-0.288616,'1'
1.161477,-0.75883,0.159565,1.443135,-0.079619,-0.054551,0.527543,-0.558648,'3'
1.708926,0.654786,-0.692759,-0.489412,-0.079619,-0.054551,-0.736937,-0.558648,'3'
-0.115903,-0.381866,0.159565,-1.062018,-0.079619,-0.054551,-0.014377,-0.558648,'1'
-0.024662,-0.853071,-0.083956,-1.062018,-0.079619,-0.054551,-0.195017,1.061545,'1'
0.978994,-0.099143,0.403086,-1.062018,-0.079619,-0.054551,0.166263,-0.198605,'4'
0.249063,-1.324277,0.524846,-0.34626,-0.079619,-0.054551,-0.195017,-0.558648,'4'
1.252718,1.125992,0.524846,-0.34626,-0.079619,-0.054551,-0.014377,-0.288616,'4'
-0.207145,-0.75883,-0.083956,-0.704139,-0.079619,-0.054551,-0.014377,-0.558648,'1'
-0.389628,-0.381866,-0.327477,-0.274684,-0.079619,-0.054551,0.166263,-0.558648,'1'
2.347616,1.408715,-1.05804,0.297922,-0.079619,-0.054551,-0.195017,-0.558648,'1'
-0.389628,0.466304,0.159565,-0.918866,-0.079619,-0.054551,0.888823,-0.558648,'1'
-0.115903,0.466304,0.159565,-0.775715,-0.079619,-0.054551,1.430743,-0.558648,'1'
0.340304,0.277822,0.159565,1.801014,-0.079619,-0.054551,0.708183,-0.558648,'3'
1.070236,-0.287625,0.281325,-0.489412,-0.079619,-0.054551,1.611383,-0.108594,'1'
0.887753,-0.099143,1.133648,-0.560987,-0.079619,-0.054551,0.166263,-0.558648,'1'
1.435201,1.785679,0.768367,-0.131533,-0.079619,-0.054551,-0.195017,-0.558648,'3'
0.522787,0.560545,-0.936279,-1.133594,-0.079619,-0.054551,1.250103,0.341459,'4'
0.340304,0.277822,-0.936279,4.377743,-0.079619,-0.054551,0.346903,-0.558648,'3'
-0.845835,1.220233,1.255409,-0.990442,-0.079619,-0.054551,0.527543,1.69162,'1'
-1.302042,0.654786,0.037804,1.228408,-0.079619,-0.054551,0.166263,-0.558648,'4'
2.256374,1.220233,-0.692759,0.297922,-0.079619,-0.054551,0.708183,-0.288616,'3'
