@relation data
@attribute ACTION numeric
@attribute CONDITIONAL numeric
@attribute CONTINUANCE numeric
@attribute IMPERATIVE numeric
@attribute OPTION {'0','1','3'}
@attribute RISK_LEVEL numeric
@attribute SOURCE numeric
@attribute WEAK_PHRASE numeric
@attribute class {'1','2'}
@data
1,1,0,0,'0',1,1,0,'2'
1,0,0,0,'0',1,2,0,'2'
1,1,0,1,'0',1,1,0,'2'
2,0,1,1,'0',2,1,0,'2'
3,1,1,1,'0',2,1,0,'2'
1,0,1,0,'0',2,6,0,'2'
1,1,1,1,'0',2,3,0,'2'
2,0,1,1,'0',3,2,1,'2'
2,0,0,0,'0',1,2,0,'2'
1,1,0,1,'0',1,1,0,'2'
1,1,0,0,'0',2,3,0,'2'
1,0,0,1,'0',3,6,1,'2'
2,1,0,3,'0',3,3,0,'2'
2,0,0,1,'0',2,2,0,'2'
1,0,0,1,'0',1,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
3,0,4,4,'0',3,11,0,'2'
2,0,1,1,'0',2,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,2,2,'0',3,4,0,'2'
1,1,0,2,'0',2,2,0,'2'
1,0,2,2,'0',3,4,2,'2'
2,0,2,2,'0',2,3,0,'2'
2,0,0,2,'0',2,2,0,'2'
3,1,2,2,'0',3,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,1,1,1,'0',2,2,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',1,1,0,'2'
1,0,0,1,'0',2,3,0,'2'
1,1,0,1,'0',1,1,0,'2'
3,1,2,2,'0',3,3,0,'2'
2,0,0,1,'0',1,1,0,'2'
2,1,1,0,'0',2,1,0,'2'
1,1,0,1,'0',1,1,0,'2'
1,1,0,1,'0',1,1,0,'2'
1,1,0,1,'0',1,1,0,'2'
3,1,2,2,'0',3,3,0,'2'
3,1,1,1,'0',2,1,0,'2'
3,1,2,2,'0',3,3,0,'2'
3,1,1,1,'0',2,1,0,'2'
1,0,1,0,'0',2,3,0,'2'
2,1,1,0,'0',2,1,0,'2'
